firstName,middleName,lastName,DOB,gender,guardianName,guardianPhone,guardianAddress,guardianEmail,guardianRelationship,classId,sectionId,sectionName,academicYearId,admissionDate,nationality,createParentPortal
Amina,Ali,Abdullahi,2016-01-01,Female,Abdullahi Abdullahi,+252610000001,House 001 Hodan District Mogadishu,guardian001@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ahmed,Omar,Abdullahi,2016-02-02,Male,Fadumo Abdullahi,+252610000002,House 002 Hodan District Mogadishu,guardian002@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hodan,Ahmed,Abdullahi,2016-03-03,Female,Ibrahim Abdullahi,+252610000003,House 003 Hodan District Mogadishu,guardian003@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Mohamed,Nur,Abdullahi,2016-04-04,Male,Khadra Abdullahi,+252610000004,House 004 Hodan District Mogadishu,guardian004@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Sahra,Farah,Abdullahi,2016-05-05,Female,Ali Abdullahi,+252610000005,House 005 Hodan District Mogadishu,guardian005@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Abdi,Mahad,Abdullahi,2016-06-06,Male,Deqa Abdullahi,+252610000006,House 006 Hodan District Mogadishu,guardian006@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Said,Abdullahi,2016-07-07,Female,Mohamed Abdullahi,+252610000007,House 007 Hodan District Mogadishu,guardian007@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Hassan,Abdullahi,2016-08-08,Male,Maryan Abdullahi,+252610000008,House 008 Hodan District Mogadishu,guardian008@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Yusuf,Abdullahi,2016-09-09,Female,Ismail Abdullahi,+252610000009,House 009 Hodan District Mogadishu,guardian009@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Ibrahim,Abdullahi,2016-10-10,Male,Hawa Abdullahi,+252610000010,House 010 Hodan District Mogadishu,guardian010@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
